feature,ticket_id,epic,description,user_story,acceptance_criteria,priority,horizon,type,status,source_documents
Bot-free local system audio capture,GRAN-001,Capture & Note Generation,"Capture computer audio locally without adding a visible meeting bot, with explicit user intent and participant notice controls.","As a PM, I want Granola to capture meeting audio locally without a bot so I can keep meetings lightweight and private.",User can start/stop capture from desktop; capture state is always visible; participant notice/consent flow is available; no recording starts without user action; audio file is retained only under configured retention policy.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/diagnostic.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Meeting transcript ingestion and cleanup,GRAN-002,Capture & Note Generation,"Convert captured audio into clean transcript text suitable for downstream summary, Q&A, and artifact generation.","As a user, I want captured audio transcribed and cleaned so generated notes are readable and actionable.",Audio is transcribed after capture; filler/noise cleanup is applied; transcript is attached to the note; transcript processing failures are shown with retry; transcript source remains accessible from generated outputs.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/prototype.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md
Live shorthand note capture,GRAN-003,Capture & Note Generation,Allow users to type shorthand keywords during meetings that steer later AI expansion and document formatting.,"As a PM, I want to type short notes during calls so Granola can infer what matters and generate better product artifacts.",Editor accepts shorthand while recording; shorthand is saved with timestamps; shorthand can be edited before enhancement; shorthand influences generated summary and artifact structure; no typed note is lost on app restart.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/diagnostic.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/prototype.md
Shorthand-to-audio timestamp map,GRAN-004,Capture & Note Generation,Link typed shorthand notes to precise transcript/audio timestamps to preserve the core proprietary context signal.,"As a reviewer, I want every generated expansion tied back to the audio moment that informed it so I can verify accuracy quickly.",Each shorthand item stores timestamp metadata; generated note sections include source anchors; clicking a source opens transcript/audio at the relevant segment; missing/weak source links lower confidence; timestamp map is queryable by downstream workflows.,P0,Now (0-3 months),Platform Capability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/diagnostic.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md
Post-meeting Enhance flow,GRAN-005,Capture & Note Generation,Provide an explicit user-triggered enhancement flow that transforms raw shorthand and transcript text into structured notes.,"As a user, I want to click Enhance after a meeting so Granola generates polished notes only when I ask it to.",Enhance action is user-initiated; progress state is visible; output can be regenerated; errors preserve original transcript and shorthand; generated output records model/provider/version metadata for evaluation.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Structured meeting note editor,GRAN-006,Capture & Note Generation,"Provide an editable meeting note workspace that supports transcript, AI-generated summary, action items, decisions, and user edits.","As a PM, I want a structured note editor so I can review and refine AI outputs before sharing or exporting them.","Note contains sections for summary, decisions, action items, risks, and transcript; user edits are autosaved; AI-generated text is distinguishable; editor supports markdown; edit history is available for feedback learning.",P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Default summary and next-step generation,GRAN-007,Capture & Note Generation,"Generate default meeting summaries with milestones, decisions, risks, owners, and next steps when no custom shorthand exists.","As a user, I want useful notes even when I typed little or no shorthand during the meeting.",Default summary works without shorthand; output includes decisions and next steps when present; missing owners/dates are marked uncertain; low evidence content is highlighted; output meets golden dataset expectations.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
PM artifact template library,GRAN-008,Product Artifact Generation,"Generate product artifacts such as roadmaps, user pain points, PRDs, project updates, and release notes from meeting notes.","As a PM, I want Granola to turn meetings into product artifacts so I can move from raw notes to work outputs faster.","Template library includes PRD, roadmap, pain-point list, project update, release update, and decision log; user can choose a template before generation; output sections match template schema; templates support team-specific customization.",P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/diagnostic.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Custom team templates,GRAN-009,Product Artifact Generation,"Allow users and teams to save preferred note and artifact formats such as Jira templates, PRD structures, and shorthand vocabulary.","As a team lead, I want Granola to remember our preferred formats so every meeting output matches how our team works.",Users can create/edit/delete templates; templates can be scoped to user/team/meeting type; generated outputs follow selected template; template usage is tracked; template changes are auditable.,P1,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
AI recipe selector,GRAN-010,Product Artifact Generation,Let users choose a generation recipe or artifact type before or after enhancement.,"As a user, I want to choose the output recipe so Granola generates the right artifact for the meeting context.","Recipe selector appears in the note editor; recipes include summary, PRD, roadmap, CRM update, follow-up email, and recap; recipe choice is reflected in model prompt; user can rerun with a different recipe; recipe choices feed preference learning when approved.",P1,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Transcript source viewer,GRAN-011,Reliability UX,"Expose transcript and timestamp evidence behind generated notes, decisions, and action items.","As a reviewer, I want to see the transcript source for generated claims so I can verify important details.",Generated claims expose source links; source viewer opens transcript at relevant location; source evidence can be copied; missing support triggers uncertainty badge; source links are preserved during export where destination supports them.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Speaker attribution support,GRAN-012,Reliability UX,Detect and preserve correct speaker attribution in notes and action items.,"As a PM, I want Granola to attribute statements to the correct person so decisions and ownership are trusted.",Transcript segments include speaker labels; generated notes preserve speaker names when known; ambiguous attribution is flagged; users can correct speakers inline; speaker corrections feed evaluation and preference data.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Domain acronym expansion,GRAN-013,Reliability UX,Expand common and team-specific acronyms while preserving source evidence and user override control.,"As a user, I want abbreviations expanded correctly so meeting notes are readable to broader stakeholders.",System expands known acronyms such as CRM and PM; team glossary overrides generic expansion; uncertain expansions are highlighted; users can accept/reject expansions; acronym corrections update team vocabulary.,P1,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/compounding-system.md
Cross-language translation flagging,GRAN-014,Reliability UX,Detect language switches and either translate flagged sections or route them for user review.,"As a user, I want mixed-language meetings handled explicitly so I know which translated sections need review.",Language switches are detected; Spanish sections can be translated or flagged; translated content is labeled; users can report translation errors; translation errors feed evaluation dataset.,P1,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md
